Year,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2023,  31.9,  25.7,  35.0,  21.7,2411.2, 154.8, 180.0,   5.6,  37.0,  77.1
2022,  31.6,  25.2,  35.4,  22.2,2207.2,  59.4, 210.0,   5.3,  41.0,  78.6
2021,  31.7,  25.3,  34.7,  21.7,2809.6, 210.6, 182.0,   6.1,  41.0,  78.5
2020,  31.7,  25.5,  34.6,  21.9,1886.6,  64.2, 178.0,   5.9,  41.0,  78.1
2019,  32.3,  25.9,  34.8,  21.9,1367.5,  92.2, 120.0,   6.8,  35.0,  76.7
2018,  31.6,  25.4,  35.0,  21.3,1708.2,  60.6, 188.0,   5.7,  33.0,  79.6
2017,  31.1,  25.2,  34.6,  21.8,2045.6,  69.8, 204.0,   5.8,  44.0,  82.6
2016,  32.0,  25.8,  35.0,  21.6,1955.7,  75.4, 179.0,   6.0,  33.0,  76.0
2015,  31.9,  25.8,  34.4,  21.9,1266.8,  63.2, 125.0,   6.2,  35.0,  76.9
2014,  31.6,  25.3,  34.5,  21.1,1538.4,  64.4, 152.0,   6.0,  37.0,  78.5
2013,  31.3,  25.0,  35.2,  20.9,2748.4, 139.8, 206.0,   5.4,  36.0,  81.7
2012,  31.2,  25.0,  33.7,  21.1,2159.9,  92.3, 191.0,   5.5,  48.0,  83.5
2011,  31.2,  24.7,  35.3,  21.4,2524.2, 216.2, 188.0,   5.6,  41.0,  84.6
2010,  31.9,  24.9,  35.5,  21.7,2075.1, 121.1, 178.0,   5.7,  43.0,  82.9
2009,  31.7,  25.0,  35.0,  21.8,1920.9,  86.6, 166.0,   5.9,  42.0,  82.4
2008,  31.1,  24.7,  34.1,  21.8,2325.1, 133.9, 182.0,   5.2,  47.0,  83.4
2007,  31.1,  24.8,  34.0,  21.8,2886.2, 159.0, 195.0,   5.3,  47.0,  84.5
2006,  31.5,  25.0,  34.6,  22.1,2753.2, 198.0, 174.0,   5.6,  44.0,  84.6
2005,  31.9,  25.1,  35.4,  21.3,1930.7, 133.8, 175.0,   6.1,  42.0,  83.2
2004,  31.7,  25.1,  35.1,  21.1,2136.4, 177.8, 147.0,   6.0,  43.0,  83.5
2003,  31.4,  25.1,  34.3,  22.0,2391.2, 194.4, 186.0,   5.4,  36.0,  84.3
2002,  32.0,  25.2,  34.8,  22.0,1748.9,  84.0, 139.0,   6.3,  40.0,  82.5
2001,  31.4,  24.9,  34.0,  21.5,2783.1, 211.1, 184.0,   5.2,  47.0,  84.3
2000,  31.4,  24.7,  34.3,  20.2,2370.5, 127.6, 188.0,   5.3,  44.0,  84.7
1999,  31.3,  24.7,  34.4,  21.6,2134.0,  76.9, 177.0,   5.4,  46.0,  84.2
1998,  32.1,  25.3,  36.0,  22.5,2623.1,  84.4, 177.0,   5.7,  47.0,  82.5
1997,  32.4,  25.3,  35.1,  22.0,1118.9,  65.8, 116.0,   5.7,  43.0,  79.6
1996,  31.3,  24.5,  34.4,  22.1,2418.0,  94.3, 170.0,   5.6,  43.0,  83.4
1995,  31.3,  24.7,  34.1,  21.8,2332.6, 198.6, 179.0,   5.1,  45.0,  84.5
1994,  31.3,  24.7,  34.2,  20.5,1941.8, 178.3, 160.0,   5.4,  37.0,  83.3
1993,  31.3,  24.6,  34.2,  21.7,2168.7,  67.6, 163.0,   5.9,  45.0,  83.7
1992,  31.5,  24.4,  34.7,  21.1,2260.8, 120.6, 163.0,   5.5,  44.0,  83.3
1991,  31.5,  24.7,  34.1,  22.0,1877.0, 129.9, 146.0,   5.4,  40.0,  83.1
1990,  31.8,  24.8,  35.0,  21.1,1523.8, 153.7, 142.0,   6.2,  38.0,  82.2
1989,  31.2,  24.1,  34.5,  21.1,2463.2, 148.6, 173.0,   5.5,  48.0,  84.4
1988,  31.3,  24.6,  34.7,  21.0,2598.6, 187.3, 173.0,   5.4,  45.0,  83.8
1987,  31.5,  24.7,  34.6,  21.2,2102.8, 127.4, 151.0,   5.9,  47.0,  82.9
1986,  31.1,  24.4,  34.2,  21.2,2536.1, 131.7, 174.0,   5.5,  40.0,  82.9
1985,  31.3,  24.3,  35.0,  21.0,1483.9,  86.8, 181.0,   5.6,  43.0,  83.2
1984,  30.8,  24.0,  33.4,  21.0,2686.7, 154.4, 191.0,   5.1,  49.0,  84.6
1983,31.7,24.9,35.8,21.3,2080.8,112.9,145,5.6,na,84.5
1982,31.4,24.6,34.3,21.9,1749.6,121.5,130,5.7,na,84.4
1981,31.3,24.2,na,na,1555.8,79.7,145,5.8,na,83.5
1980,31,23.9,na,na,2325.7,133.5,176,5.7,na,86.2
1979,31,23.9,na,na,2168.1,90.6,168,5.7,na,85.8
1978,31,23.7,na,na,2766,512.4,171,5.5,na,86.1
1977,30.9,23.7,na,na,1774.7,93.5,141,5.7,na,85.6
1976,30.7,23.3,na,na,2166.6,83.8,161,6,na,85
1975,30.4,23.3,na,na,1925.4,71,195,5.3,na,86.9
1974,30.3,23.1,na,na,2066.4,69.3,175,5.4,na,86.8
1973,30.5,23.5,na,na,2956,127.6,222,4.8,na,87.6
1972,30.8,23.5,na,na,1806.9,76.2,158,5.9,na,85.5
1971,30.6,23.2,na,na,1613.5,86.6,170,5.2,na,84.7
1970,30.7,23.6,na,na,2283.7,84.5,192,5.4,na,86
1969,30.8,23.8,na,na,2297.1,315,185,5.5,na,85.7
1968,30.7,23.5,na,na,2084.2,125.1,176,5.6,na,84.6
1967,30.6,23.5,na,na,2918.8,162.7,178,5.3,na,85.1
1966,31,23.7,na,na,2486.9,60.3,190,5.3,na,84.6
1965,31,23.1,na,na,1857.2,143.6,156,5.6,na,83.9
1964,30.7,23.4,na,na,2833.2,146,212,5,na,85.8
1963,31.1,23.5,na,na,1824.1,110.5,142,5.8,na,83.8
1962,30.7,23.5,na,na,2293.2,109.9,177,5.3,na,85
1961,31.1,23.6,na,na,1817.6,118.8,155,5.9,na,83.6
1960,30.9,23.7,na,na,1569.6,57.9,173,5.4,na,84.6
