"","ccode","statename","stateabb","year","imports","exports","alt_imports","alt_exports","source1","source2","version"
"3609",200,"United Kingdom","UKG",1870,1515,1000,NA,NA,1,1,4
"3610",200,"United Kingdom","UKG",1871,1655,1115,NA,NA,1,1,4
"3611",200,"United Kingdom","UKG",1872,1775,1280,NA,NA,1,1,4
"3612",200,"United Kingdom","UKG",1873,1450,945,NA,NA,1,1,4
"3613",200,"United Kingdom","UKG",1874,1850,1200,NA,NA,1,1,4
"3614",200,"United Kingdom","UKG",1875,1450,760,NA,NA,1,1,4
"3615",200,"United Kingdom","UKG",1876,1875,1005,NA,NA,1,1,4
"3616",200,"United Kingdom","UKG",1877,1970,995,NA,NA,1,1,4
"3617",200,"United Kingdom","UKG",1878,1845,965,NA,NA,1,1,4
"3618",200,"United Kingdom","UKG",1879,1815,960,NA,NA,1,1,4
"3619",200,"United Kingdom","UKG",1880,1546.76000976562,1391.96997070312,NA,NA,1,1,4
"3620",200,"United Kingdom","UKG",1881,1985,1170,NA,NA,1,1,4
"3621",200,"United Kingdom","UKG",1882,2065,1205,NA,NA,1,1,4
"3622",200,"United Kingdom","UKG",1883,2135,1200,NA,NA,1,1,4
"3623",200,"United Kingdom","UKG",1884,1950,1165,NA,NA,1,1,4
"3624",200,"United Kingdom","UKG",1885,1802.90002441406,1320.02001953125,NA,NA,1,1,4
"3625",200,"United Kingdom","UKG",1886,1750,1065,NA,NA,1,1,4
"3626",200,"United Kingdom","UKG",1887,1810,1110,NA,NA,1,1,4
"3627",200,"United Kingdom","UKG",1888,1940,1175,NA,NA,1,1,4
"3628",200,"United Kingdom","UKG",1889,2140,1245,NA,NA,1,1,4
"3629",200,"United Kingdom","UKG",1890,2105,1320,NA,NA,1,1,4
"3630",200,"United Kingdom","UKG",1891,2175,1235,NA,NA,1,1,4
"3631",200,"United Kingdom","UKG",1892,2120,1135,NA,NA,1,1,4
"3632",200,"United Kingdom","UKG",1893,2025,1090,NA,NA,1,1,4
"3633",200,"United Kingdom","UKG",1894,2040,1080,NA,NA,1,1,4
"3634",200,"United Kingdom","UKG",1895,1605,780,NA,NA,1,1,4
